t,S,B,M
40.944000,0.000001,0.310449,0.950709
40.992000,0.000001,0.310449,0.950709
41.040000,0.000001,0.310449,0.950709
41.088000,0.000001,0.310449,0.950709
41.136000,0.000001,0.310449,0.950709
41.184000,0.000001,0.310449,0.950709
41.232000,0.000001,0.310449,0.950709
41.280000,0.000001,0.310449,0.950709
41.328000,0.000001,0.310449,0.950709
41.376000,0.000001,0.310449,0.950709
41.424000,0.000001,0.310449,0.950709
41.472000,0.000001,0.310449,0.950709
41.520000,0.000001,0.310449,0.950709
41.568000,0.000001,0.310449,0.950709
41.616000,0.000001,0.310449,0.950709
41.664000,0.000001,0.310449,0.950709
41.712000,0.000001,0.310449,0.950709
41.760000,0.000001,0.310449,0.950709
41.808000,0.000001,0.310449,0.950709
41.856000,0.000001,0.310449,0.950709
41.904000,0.000001,0.310449,0.950709
41.952000,0.000001,0.310449,0.950709
42.000000,0.000001,0.310449,0.950709
42.048000,0.000001,0.310449,0.950709
42.096000,0.000001,0.310449,0.950709
42.144000,0.000001,0.310449,0.950709
42.192000,0.000001,0.310449,0.950709
42.240000,0.000001,0.310449,0.950709
42.288000,0.000001,0.310449,0.950709
42.336000,0.000001,0.310449,0.950709
42.384000,0.000001,0.310449,0.950709
42.432000,0.000001,0.310449,0.950709
42.480000,0.000001,0.310449,0.950709
42.528000,0.000001,0.310449,0.950709
42.576000,0.000001,0.310449,0.950709
42.624000,0.000001,0.310449,0.950709
42.672000,0.000001,0.310449,0.950709
42.720000,0.000001,0.310449,0.950709
42.768000,0.000001,0.310449,0.950709
42.816000,0.000001,0.310449,0.950709
42.864000,0.000001,0.310449,0.950709
42.912000,0.000001,0.310449,0.950709
42.960000,0.000001,0.310449,0.950709
43.008000,0.000001,0.310449,0.950709
43.056000,0.000001,0.310449,0.950709
43.104000,0.000001,0.310449,0.950709
43.152000,0.000001,0.310449,0.950709
43.200000,0.000001,0.310449,0.950709
43.248000,0.000001,0.310449,0.950709
43.296000,0.000001,0.310449,0.950709
43.344000,0.000001,0.310449,0.950709
43.392000,0.000001,0.310449,0.950709
43.440000,0.000001,0.310449,0.950709
43.488000,0.000001,0.310449,0.950709
43.536000,0.000001,0.310449,0.950709
43.584000,0.000001,0.310449,0.950709
43.632000,0.000001,0.310449,0.950709
43.680000,0.000001,0.310449,0.950709
43.728000,0.000001,0.310449,0.950709
43.776000,0.000001,0.310449,0.950709
43.824000,0.000001,0.310449,0.950709
43.872000,0.000001,0.310449,0.950709
43.920000,0.000001,0.310449,0.950709
43.968000,0.000001,0.310449,0.950709
44.016000,0.000001,0.310449,0.950709
44.064000,0.000001,0.310449,0.950709
44.112000,0.000001,0.310449,0.950709
44.160000,0.000001,0.310449,0.950709
44.208000,0.000001,0.310449,0.950709
44.256000,0.000001,0.310449,0.950709
44.304000,0.000001,0.310449,0.950709
44.352000,0.000001,0.310449,0.950709
44.400000,0.000001,0.310449,0.950709
44.448000,0.000001,0.310449,0.950709
44.496000,0.000001,0.310449,0.950709
44.544000,0.000001,0.310449,0.950709
44.592000,0.000001,0.310449,0.950709
44.640000,0.000001,0.310449,0.950709
44.688000,0.000001,0.310449,0.950709
44.736000,0.000001,0.310449,0.950709
44.784000,0.000001,0.310449,0.950709
44.832000,0.000001,0.310449,0.950709
44.880000,0.000001,0.310449,0.950709
44.928000,0.000001,0.310449,0.950709
44.976000,0.000001,0.310449,0.950709
45.024000,0.000001,0.310449,0.950709
45.072000,0.000001,0.310449,0.950709
45.120000,0.000001,0.310449,0.950709
45.168000,0.000001,0.310449,0.950709
45.216000,0.000001,0.310449,0.950709
45.264000,0.000001,0.310449,0.950709
45.312000,0.000001,0.310449,0.950709
45.360000,0.000001,0.310449,0.950709
45.408000,0.000001,0.310449,0.950709
45.456000,0.000001,0.310449,0.950709
45.504000,0.000001,0.310449,0.950709
45.552000,0.000001,0.310449,0.950709
45.600000,0.000001,0.310449,0.950709
45.648000,0.000001,0.310449,0.950709
45.696000,0.000001,0.310449,0.950709
45.744000,0.000001,0.310449,0.950709
45.792000,0.000001,0.310449,0.950709
45.840000,0.000001,0.310449,0.950709
45.888000,0.000001,0.310449,0.950709
45.936000,0.000001,0.310449,0.950709
45.984000,0.000001,0.310449,0.950709
46.032000,0.000001,0.310449,0.950709
46.080000,0.000001,0.310449,0.950709
46.128000,0.000001,0.310449,0.950709
46.176000,0.000001,0.310449,0.950709
